Code ,Category or subcategory title 
O04.8,Code occur in female
O04.9,Code occur in female
O05.0,Code occur in female
O05.1,Code occur in female
O05.2,Code occur in female
O05.3,Code occur in female
O05.4,Code occur in female
O05.5,Code occur in female
O05.6,Code occur in female
O05.7,Code occur in female
O05.8,Code occur in female
O05.9,Code occur in female
O06.0,Code occur in female
O06.1,Code occur in female
O06.2,Code occur in female
O06.3,Code occur in female
O06.4,Code occur in female
O06.5,Code occur in female
O06.6,Code occur in female
O06.7,Code occur in female
O06.8,Code occur in female
O06.9,Code occur in female
O29.5,Code occur in female
O29.6,Code occur in female
O29.8,Code occur in female
O29.9,Code occur in female
O30.0,Code occur in female
O30.1,Code occur in female
O30.2,Code occur in female
O30.8,Code occur in female
O30.9,Code occur in female
O31.0,Code occur in female
O31.1,Code occur in female
O31.2,Code occur in female
O31.8,Code occur in female
O32.0,Code occur in female
O32.1,Code occur in female
O32.2,Code occur in female
O32.3,Code occur in female
O32.4,Code occur in female
O32.5,Code occur in female
O32.6,Code occur in female
O32.8,Code occur in female
O32.9,Code occur in female
O33.0,Code occur in female
O33.1,Code occur in female
O33.2,Code occur in female
O33.3,Code occur in female
O33.4,Code occur in female
O33.5,Code occur in female
O33.6,Code occur in female
O33.7,Code occur in female
O33.8,Code occur in female
O66.1,Code occur in female
O66.2,Code occur in female
O66.3,Code occur in female
O66.4,Code occur in female
O66.5,Code occur in female
O66.8,Code occur in female
O66.9,Code occur in female
O67.0,Code occur in female
O67.8,Code occur in female
O67.9,Code occur in female
O68.0,Code occur in female
O68.1,Code occur in female
O68.2,Code occur in female
O68.3,Code occur in female
O68.8,Code occur in female
O68.9,Code occur in female
O69.0,Code occur in female
O69.1,Code occur in female
O69.2,Code occur in female
O69.3,Code occur in female
O69.4,Code occur in female
O69.5,Code occur in female
O69.8,Code occur in female
O69.9,Code occur in female
O70.0,Code occur in female
O70.1,Code occur in female
O70.2,Code occur in female
O70.3,Code occur in female
O70.9,Code occur in female
O71.0,Code occur in female
O71.1,Code occur in female
O90.5,Code occur in female
O90.8,Code occur in female
O90.9,Code occur in female
O91.0,Code occur in female
O91.1,Code occur in female
O91.2,Code occur in female
O92.0,Code occur in female
O92.1,Code occur in female
O92.2,Code occur in female
O92.3,Code occur in female
O92.4,Code occur in female
O92.5,Code occur in female
O92.6,Code occur in female
O92.7,Code occur in female
O95,Code occur in female
O96.0,Code occur in female
O96.1,Code occur in female
O96.9,Code occur in female
O97.0,Code occur in female
O97.1,Code occur in female
O97.9,Code occur in female
O98.0,Code occur in female
O98.1,Code occur in female
O98.2,Code occur in female
O98.3,Code occur in female
O98.4,Code occur in female
O98.5,Code occur in female
O98.6,Code occur in female
O98.7,Code occur in female
O98.8,Code occur in female
O98.9,Code occur in female
Z30.5,Code occur in female
Z31.1,Code occur in female
Z31.2,Code occur in female
Z32.0,Code occur in female
Z32.1,Code occur in female
Z33,Code occur in female
Z34.0,Code occur in female
Z34.8,Code occur in female
Z34.9,Code occur in female
Z35.0,Code occur in female
Z35.1,Code occur in female
Z35.2,Code occur in female
Z35.3,Code occur in female
Z35.4,Code occur in female
Z35.5,Code occur in female
D39.9,Code occur in female
E28.0,Code occur in female
E28.1,Code occur in female
E28.2,Code occur in female
E28.3,Code occur in female
E28.8,Code occur in female
E28.9,Code occur in female
E89.4 ,Code occur in female
F53.0,Code occur in female
F53.1,Code occur in female
F53.8,Code occur in female
F53.9,Code occur in female
F84.2,Code occur in female
L29.2,Code occur in female
L70.5,Code occur in female
M80.0,Code occur in female
M80.1,Code occur in female
M81.0,Code occur in female
M81.1,Code occur in female
M83.0,Code occur in female
N70.0,Code occur in female
N70.1,Code occur in female
N70.9,Code occur in female
N71.0,Code occur in female
N71.1,Code occur in female
N71.9,Code occur in female
F52.5,Code occur in female
I86.3,Code occur in female
N88.2,Code occur in female
N88.3,Code occur in female
N88.4,Code occur in female
N88.8,Code occur in female
N88.9,Code occur in female
N89.0,Code occur in female
N89.1,Code occur in female
N89.2,Code occur in female
N89.3,Code occur in female
N89.4,Code occur in female
N89.5,Code occur in female
N89.6,Code occur in female
N89.7,Code occur in female
N89.8,Code occur in female
N89.9,Code occur in female
N90.0,Code occur in female
N90.1,Code occur in female
N90.2,Code occur in female
N90.3,Code occur in female
N90.4,Code occur in female
N90.5,Code occur in female
N90.6,Code occur in female
N90.7,Code occur in female
N90.8,Code occur in female
N90.9,Code occur in female
N91.0,Code occur in female
N91.1,Code occur in female
N91.2,Code occur in female
N91.3,Code occur in female
N91.4,Code occur in female
N91.5,Code occur in female
O07.0,Code occur in female
O07.1,Code occur in female
O07.2,Code occur in female
O07.3,Code occur in female
O07.4,Code occur in female
O07.5,Code occur in female
O07.6,Code occur in female
O07.7,Code occur in female
O07.8,Code occur in female
O07.9,Code occur in female
O08.0,Code occur in female
O08.1,Code occur in female
O08.2,Code occur in female
O08.3,Code occur in female
O08.4,Code occur in female
O08.5,Code occur in female
O08.6,Code occur in female
O08.7,Code occur in female
O08.8,Code occur in female
O08.9,Code occur in female
O10.0,Code occur in female
O10.1,Code occur in female
O10.2,Code occur in female
O10.3,Code occur in female
O10.4,Code occur in female
O10.9,Code occur in female
O11,Code occur in female
O12.0,Code occur in female
O12.1,Code occur in female
O12.2,Code occur in female
O13,Code occur in female
O33.9,Code occur in female
O34.0,Code occur in female
O34.1,Code occur in female
O34.2,Code occur in female
O34.3,Code occur in female
O34.4,Code occur in female
O34.5,Code occur in female
O34.6,Code occur in female
O34.7,Code occur in female
O34.8,Code occur in female
O34.9,Code occur in female
O35.0,Code occur in female
O35.1,Code occur in female
O35.2,Code occur in female
O35.3,Code occur in female
O35.4,Code occur in female
O35.5,Code occur in female
O35.6,Code occur in female
O35.7,Code occur in female
O35.8,Code occur in female
O35.9,Code occur in female
O36.0,Code occur in female
O36.1,Code occur in female
O36.2,Code occur in female
O36.3,Code occur in female
O36.4,Code occur in female
O36.5,Code occur in female
O36.6,Code occur in female
O36.7,Code occur in female
O36.8,Code occur in female
O36.9,Code occur in female
O71.2,Code occur in female
O71.3,Code occur in female
O71.4,Code occur in female
O71.5,Code occur in female
O71.6,Code occur in female
O71.7,Code occur in female
O71.8,Code occur in female
O71.9,Code occur in female
O72.0,Code occur in female
O72.1,Code occur in female
O72.2,Code occur in female
O72.3,Code occur in female
O73.0,Code occur in female
O73.1,Code occur in female
O74.0,Code occur in female
O74.1,Code occur in female
O74.2,Code occur in female
O74.3,Code occur in female
O74.4,Code occur in female
O74.5,Code occur in female
O74.6,Code occur in female
O74.7,Code occur in female
O74.8,Code occur in female
O74.9,Code occur in female
O75.0,Code occur in female
O75.1,Code occur in female
O75.2,Code occur in female
O75.3,Code occur in female
O75.4,Code occur in female
O75.5,Code occur in female
O75.6,Code occur in female
O99.0,Code occur in female
O99.1,Code occur in female
O99.2,Code occur in female
O99.3,Code occur in female
O99.4,Code occur in female
O99.5,Code occur in female
O99.6,Code occur in female
O99.7,Code occur in female
O99.8,Code occur in female
P54.6,Code occur in female
Q50.0,Code occur in female
Q50.1,Code occur in female
Q50.2,Code occur in female
Q50.3,Code occur in female
Q50.4,Code occur in female
Q50.5,Code occur in female
Q50.6,Code occur in female
Q51.0,Code occur in female
Q51.1,Code occur in female
Q51.2,Code occur in female
Q51.3,Code occur in female
Q51.4,Code occur in female
Q51.5,Code occur in female
Q51.6,Code occur in female
Q51.7,Code occur in female
Q51.8,Code occur in female
Q51.9,Code occur in female
Q52.0,Code occur in female
Q52.1,Code occur in female
Q52.2,Code occur in female
Q52.3,Code occur in female
Z35.6,Code occur in female
Z35.7,Code occur in female
Z35.8,Code occur in female
Z35.9,Code occur in female
Z36.0,Code occur in female
Z36.1,Code occur in female
Z36.2,Code occur in female
Z36.3,Code occur in female
Z36.4,Code occur in female
Z36.5,Code occur in female
Z36.8,Code occur in female
Z36.9,Code occur in female
Z37.0,Code occur in female
Z37.1,Code occur in female
Z37.2,Code occur in female
D39.9,Code occur in female
N72,Code occur in female
N73.0,Code occur in female
N73.1,Code occur in female
N73.2,Code occur in female
N73.3,Code occur in female
N73.4,Code occur in female
N73.5,Code occur in female
N73.6,Code occur in female
N73.8,Code occur in female
N73.9,Code occur in female
N74.0,Code occur in female
N74.1,Code occur in female
N74.2,Code occur in female
N74.3,Code occur in female
N74.4,Code occur in female
N74.8,Code occur in female
N75.0,Code occur in female
N75.1,Code occur in female
N75.8,Code occur in female
N75.9,Code occur in female
N76.0,Code occur in female
N76.1,Code occur in female
N76.2,Code occur in female
N76.3,Code occur in female
N76.4,Code occur in female
N76.5,Code occur in female
N76.6,Code occur in female
N76.8,Code occur in female
N92.0,Code occur in female
N92.1,Code occur in female
N92.2,Code occur in female
N92.3,Code occur in female
N92.4,Code occur in female
N92.5,Code occur in female
N92.6,Code occur in female
N93.0,Code occur in female
N93.8,Code occur in female
N93.9,Code occur in female
N94.0,Code occur in female
N94.1,Code occur in female
N94.2,Code occur in female
N94.3,Code occur in female
N94.4,Code occur in female
N94.5,Code occur in female
N94.6,Code occur in female
N94.8,Code occur in female
N94.9,Code occur in female
N95.0,Code occur in female
N95.1,Code occur in female
N95.2,Code occur in female
N95.3,Code occur in female
N95.8,Code occur in female
N95.9,Code occur in female
N96,Code occur in female
N97.0,Code occur in female
N97.1,Code occur in female
N97.2,Code occur in female
N97.3,Code occur in female
N97.4,Code occur in female
O14.0,Code occur in female
O14.1,Code occur in female
O14.2,Code occur in female
O14.9,Code occur in female
O15.0,Code occur in female
O15.1,Code occur in female
O15.2,Code occur in female
O15.9,Code occur in female
O16,Code occur in female
O20.0,Code occur in female
O20.8,Code occur in female
O20.9,Code occur in female
O21.0,Code occur in female
O21.1,Code occur in female
O21.2,Code occur in female
O21.8,Code occur in female
O21.9,Code occur in female
O22.0,Code occur in female
O22.1,Code occur in female
O22.2,Code occur in female
O22.3,Code occur in female
O22.4,Code occur in female
O22.5,Code occur in female
O22.8,Code occur in female
O22.9,Code occur in female
O23.0,Code occur in female
O23.1,Code occur in female
O23.2,Code occur in female
O23.3,Code occur in female
O23.4,Code occur in female
O23.5,Code occur in female
O40,Code occur in female
O41.0,Code occur in female
O41.1,Code occur in female
O41.8,Code occur in female
O41.9,Code occur in female
O42.0,Code occur in female
O42.1,Code occur in female
O42.2,Code occur in female
O42.9,Code occur in female
O43.0,Code occur in female
O43.1,Code occur in female
O43.2,Code occur in female
O43.8,Code occur in female
O43.9,Code occur in female
O44.0,Code occur in female
O44.1,Code occur in female
O45.0,Code occur in female
O45.8,Code occur in female
O45.9,Code occur in female
O46.0,Code occur in female
O46.8,Code occur in female
O46.9,Code occur in female
O47.0,Code occur in female
O47.1,Code occur in female
O47.9,Code occur in female
O48,Code occur in female
O60.0,Code occur in female
O60.1,Code occur in female
O60.2,Code occur in female
O60.3,Code occur in female
O61.0,Code occur in female
O75.7,Code occur in female
O75.8,Code occur in female
O75.9,Code occur in female
O80.0,Code occur in female
O80.1,Code occur in female
O80.8,Code occur in female
O80.9,Code occur in female
O81.0,Code occur in female
O81.1,Code occur in female
O81.2,Code occur in female
O81.3,Code occur in female
O81.4,Code occur in female
O81.5,Code occur in female
O82.0,Code occur in female
O82.1,Code occur in female
O82.2,Code occur in female
O82.8,Code occur in female
O82.9,Code occur in female
O83.0,Code occur in female
O83.1,Code occur in female
O83.2,Code occur in female
O83.3,Code occur in female
O83.4,Code occur in female
O83.8,Code occur in female
O83.9,Code occur in female
O84.0,Code occur in female
O84.1,Code occur in female
O84.2,Code occur in female
O84.8,Code occur in female
O84.9,Code occur in female
O85,Code occur in female
Q52.4,Code occur in female
Q52.5,Code occur in female
Q52.6,Code occur in female
Q52.7,Code occur in female
Q52.8,Code occur in female
Q52.9,Code occur in female
Q96.0,Code occur in female
Q96.1,Code occur in female
Q96.2,Code occur in female
Q96.4,Code occur in female
Q96.8,Code occur in female
Q96.9,Code occur in female
Q97.0,Code occur in female
Q97.1,Code occur in female
Q97.2,Code occur in female
Q97.3,Code occur in female
Q97.8,Code occur in female
Q97.9,Code occur in female
R87.0,Code occur in female
R87.1,Code occur in female
R87.2,Code occur in female
R87.3,Code occur in female
R87.4,Code occur in female
R87.5,Code occur in female
R87.6,Code occur in female
R87.7,Code occur in female
R87.8,Code occur in female
R87.9,Code occur in female
S31.4,Code occur in female
S37.4,Code occur in female
S37.5,Code occur in female
Z37.3,Code occur in female
Z37.4,Code occur in female
Z37.5,Code occur in female
Z37.6,Code occur in female
Z37.7,Code occur in female
Z37.9,Code occur in female
Z39.0,Code occur in female
Z39.1,Code occur in female
Z39.2,Code occur in female
Z64.0,Code occur in female
Z64.1,Code occur in female
Z87.5,Code occur in female
N72,Code occur in female
